

NRC Optimism--Pessimism Association Lexicon
(OPAL)
Version 0.1
1 June 2013
Copyright (C) 2011 National Research Council Canada (NRC)
Contact: Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

1. This copy of the NRC Optimism--Pessimism Association Lexicon is to
be used for research purposes only.  Please contact NRC if interested 
in a commercial license.

2. Do not redistribute the NRC Emotion Lexicon. Please refer
interested parties to Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca).

.......................................................................

OPAL
----
The OPAL is a list of terms and their associations with optimism and pessimism. 
The lexicon was created automatically from about 140,000 tweets that had
at least one of the following hashtags: #optimism, #optimistic, #pessimism,
and #pessimistic. It may be noted that close to 120,000 tweets pertained
to optimism and only 20,000 pertained to pessimism.

Positive scores indicate association with optimism, whereas negative scores
indicate association with pessimism. The terms with scores close to 0
(on either side) are realtively weak indicators of optimism--pessimism
and can be ignored in certain applications.

.......................................................................

The list below is for bigrams.

bigram	score	NumberOfTimesCooccuredWithOptimism	NumberOfTimesCooccuredWithPessimism
more days	0.762	94	4
have my	0.761	71	3
the greatest	0.76	48	2
change your	0.76	48	2
things come	0.76	48	2
is i	0.76	48	2
follow me	0.76	48	2
ahead .	0.76	48	2
feel good	0.76	48	2
enough for	0.756	25	1
worrying about	0.756	25	1
have that	0.756	25	1
your way	0.756	25	1
everyone has	0.756	25	1
we come	0.756	25	1
everything goes	0.756	25	1
years ,	0.756	25	1
the hardest	0.756	25	1
really excited	0.756	25	1
sad ,	0.756	25	1
managed to	0.756	25	1
gave me	0.756	25	1
say the	0.756	25	1
can start	0.756	25	1
put the	0.756	25	1
because thorn	0.756	25	1
and watch	0.756	25	1
as my	0.756	25	1
hopefully .	0.756	25	1
its been	0.756	25	1
maybe my	0.756	25	1
christmas !	0.756	25	1
day we	0.756	25	1
start looking	0.756	25	1
because rose	0.756	25	1
day can	0.756	25	1
it so	0.756	25	1
tonight i	0.756	25	1
life in	0.756	25	1
to tell	0.756	25	1
next to	0.756	25	1
if all	0.756	25	1
always try	0.756	25	1
lost my	0.756	25	1
always get	0.756	25	1
this next	0.756	25	1
it stays	0.756	25	1
week ahead	0.756	25	1
bed with	0.756	25	1
that means	0.751	93	4
for my	0.75	297	13
off to	0.748	138	6
hoping that	0.747	70	3
much better	0.745	115	5
out the	0.745	115	5
next season	0.74	92	4
be my	0.74	92	4
looking up	0.74	92	4
you down	0.739	47	2
back up	0.739	47	2
my year	0.739	47	2
half of	0.739	47	2
if not	0.739	47	2
life will	0.739	47	2
get in	0.739	47	2
things you	0.739	47	2
of today	0.739	47	2
was a	0.738	271	12
make the	0.734	270	12
you want	0.733	69	3
last day	0.733	69	3
yesterday .	0.733	69	3
make you	0.733	69	3
good about	0.733	69	3
and have	0.729	91	4
see what	0.719	244	11
pay off	0.718	68	3
and if	0.717	46	2
not having	0.717	46	2
if its	0.717	46	2
being sick	0.717	46	2
learn to	0.717	46	2
reckon we	0.715	24	1
day before	0.715	24	1
another door	0.715	24	1
make things	0.715	24	1
get one	0.715	24	1
on with	0.715	24	1
with someone	0.715	24	1
the opportunity	0.715	24	1
hopefully a	0.715	24	1
full !	0.715	24	1
the lord	0.715	24	1
gotta get	0.715	24	1
something great	0.715	24	1
you lose	0.715	24	1
today to	0.715	24	1
feeling pretty	0.715	24	1
is something	0.715	24	1
being able	0.715	24	1
smile ,	0.715	24	1
gonna take	0.715	24	1
least one	0.715	24	1
to love	0.715	24	1
is never	0.715	24	1
goal for	0.715	24	1
12 .	0.715	24	1
hopefully ,	0.715	24	1
some more	0.715	24	1
go as	0.715	24	1
you realize	0.715	24	1
way it	0.715	24	1
change for	0.715	24	1
faith that	0.715	24	1
my homework	0.715	24	1
the lakers	0.715	24	1
in tomorrow	0.715	24	1
note .	0.715	24	1
past and	0.715	24	1
its friday	0.715	24	1
good people	0.715	24	1
now we	0.715	24	1
to start	0.712	286	13
you can	0.712	548	25
hours of	0.707	89	4
get back	0.707	89	4
to my	0.704	197	9
win the	0.703	240	11
we can	0.702	348	16
through the	0.701	110	5
on .	0.7	153	7
can get	0.699	196	9
no matter	0.698	239	11
cant wait	0.695	45	2
might have	0.695	45	2
to win	0.693	302	14
never know	0.692	109	5
up !	0.692	109	5
around .	0.688	66	3
last week	0.688	66	3
only get	0.686	151	7
to take	0.686	151	7
and get	0.681	129	6
this morning	0.678	192	9
refuse to	0.673	65	3
from it	0.673	23	1
day i	0.673	170	8
but there	0.673	86	4
top 4	0.673	23	1
will !	0.673	23	1
for myself	0.673	23	1
was in	0.673	23	1
about having	0.673	23	1
at night	0.673	23	1
they should	0.673	23	1
and do	0.673	44	2
gotta be	0.673	44	2
hat -	0.673	23	1
can bring	0.673	23	1
stay in	0.673	23	1
was an	0.673	23	1
of winning	0.673	23	1
weekend .	0.673	107	5
up all	0.673	23	1
half way	0.673	44	2
can find	0.673	23	1
here !	0.673	44	2
come in	0.673	44	2
the sky	0.673	44	2
faith .	0.673	23	1
just saw	0.673	23	1
better for	0.673	23	1
time will	0.673	44	2
you go	0.673	23	1
gives you	0.673	44	2
are finally	0.673	23	1
the win	0.673	23	1
life i	0.673	23	1
week will	0.673	65	3
yay !	0.673	23	1
you lemons	0.673	23	1
tonight :	0.673	23	1
finished my	0.673	23	1
win some	0.673	23	1
day you	0.673	23	1
be there	0.673	44	2
always the	0.673	23	1
me an	0.673	23	1
home !	0.673	23	1
alright ,	0.673	23	1
tomorrow for	0.673	23	1
that if	0.673	23	1
lose weight	0.673	23	1
things don	0.673	23	1
2nd half	0.673	23	1
work will	0.673	23	1
find someone	0.673	23	1
what you	0.673	170	8
be worse	0.667	169	8
this will	0.665	127	6
to the	0.665	856	41
hope it	0.663	189	9
great .	0.661	85	4
days to	0.658	64	3
reason to	0.658	64	3
to a	0.656	291	14
me down	0.654	105	5
year i	0.65	84	4
gotta stay	0.65	43	2
have roses	0.65	43	2
days till	0.65	43	2
help me	0.65	43	2
are coming	0.65	43	2
today but	0.65	43	2
tho .	0.65	43	2
but this	0.65	43	2
night .	0.649	166	8
is looking	0.642	63	3
since i	0.642	63	3
this year	0.641	551	27
give me	0.638	83	4
look on	0.635	103	5
like to	0.633	123	6
is good	0.633	123	6
tomorrow is	0.631	485	24
will look	0.629	22	1
christmas is	0.629	22	1
found out	0.629	22	1
okay !	0.629	22	1
is worth	0.629	22	1
better when	0.629	22	1
then a	0.629	22	1
no need	0.629	22	1
mind ,	0.629	22	1
game is	0.629	22	1
that its	0.629	22	1
to figure	0.629	22	1
goin to	0.629	22	1
be up	0.629	22	1
to follow	0.629	22	1
do good	0.629	22	1
this life	0.629	22	1
well maybe	0.629	22	1
on thursday	0.629	22	1
is back	0.629	22	1
my plans	0.629	22	1
in 5	0.629	22	1
for more	0.629	22	1
its time	0.629	22	1
better then	0.629	22	1
out how	0.629	22	1
this was	0.629	22	1
today wasn	0.629	22	1
can either	0.629	22	1
or rejoice	0.629	22	1
her .	0.629	22	1
money to	0.629	22	1
actually be	0.629	22	1
has made	0.629	22	1
yeah it	0.629	22	1
maybe .	0.629	22	1
do some	0.629	22	1
or bad	0.629	22	1
forget the	0.629	22	1
here in	0.629	22	1
wait !	0.629	22	1
followed by	0.629	22	1
sucks but	0.629	22	1
attempting to	0.629	22	1
pretty well	0.629	22	1
anyway !	0.629	22	1
that moment	0.629	22	1
and how	0.629	22	1
good way	0.629	22	1
money on	0.629	22	1
change that	0.629	22	1
be out	0.629	22	1
to listen	0.629	22	1
wait .	0.627	42	2
shouldn '	0.627	42	2
be even	0.627	42	2
face .	0.627	42	2
have thorns	0.627	42	2
him .	0.627	42	2
bed .	0.626	62	3
those who	0.626	62	3
night ,	0.626	62	3
means i	0.626	62	3
monday .	0.626	62	3
looking for	0.625	82	4
morning .	0.619	161	8
the weekend	0.619	161	8
get to	0.615	319	16
on it	0.613	81	4
you got	0.61	61	3
after all	0.61	61	3
it through	0.61	61	3
one more	0.605	100	5
ve got	0.604	139	7
of good	0.603	41	2
man ,	0.603	41	2
the corner	0.603	41	2
done ,	0.603	41	2
bad days	0.603	41	2
listen to	0.603	41	2
what happens	0.601	80	4
going for	0.593	60	3
ll make	0.593	60	3
you look	0.593	60	3
rather than	0.593	60	3
getting better	0.593	60	3
with the	0.59	369	19
future .	0.589	137	7
on the	0.585	1463	76
another day	0.585	98	5
things can	0.583	117	6
really do	0.582	21	1
early morning	0.582	21	1
getting ready	0.582	21	1
other side	0.582	21	1
for granted	0.582	21	1
easy to	0.582	21	1
in mind	0.582	21	1
day by	0.582	21	1
someone will	0.582	21	1
worked out	0.582	21	1
lol ,	0.582	21	1
the office	0.582	21	1
to face	0.582	21	1
rid of	0.582	21	1
god .	0.582	21	1
more weeks	0.582	21	1
these last	0.582	21	1
sometimes the	0.582	21	1
thoughts .	0.582	21	1
no longer	0.582	21	1
have won	0.582	21	1
than ever	0.582	21	1
fall asleep	0.582	21	1
just hoping	0.582	21	1
happens #optimistic	0.582	21	1
these past	0.582	21	1
though :	0.582	21	1
if she	0.582	21	1
had in	0.582	21	1
because they	0.582	21	1
weather ,	0.582	21	1
hoping my	0.582	21	1
long ,	0.582	21	1
good today	0.582	21	1
the beauty	0.582	21	1
oh yeah	0.582	21	1
you for	0.582	21	1
for one	0.582	21	1
with him	0.582	21	1
may be	0.581	155	8
week i	0.578	40	2
down and	0.578	40	2
he is	0.578	40	2
about being	0.578	40	2
thought i	0.578	40	2
get you	0.578	40	2
of work	0.576	78	4
to all	0.576	59	3
at it	0.576	78	4
from a	0.576	59	3
of things	0.574	135	7
let '	0.571	457	24
am going	0.563	77	4
then i	0.56	133	7
half full	0.56	377	20
again !	0.559	58	3
you a	0.559	58	3
it on	0.559	58	3
it :	0.559	58	3
always look	0.559	58	3
out with	0.559	58	3
look at	0.558	320	17
you have	0.558	320	17
that just	0.553	39	2
its all	0.553	39	2
able to	0.553	188	10
and more	0.553	39	2
coming up	0.553	39	2
could get	0.553	39	2
ready to	0.55	206	11
for tomorrow	0.549	113	6
the year	0.548	150	8
by the	0.545	205	11
feel better	0.544	94	5
to play	0.544	94	5
be .	0.544	131	7
in life	0.543	223	12
to see	0.536	606	33
but so	0.534	20	1
store .	0.534	20	1
reason why	0.534	20	1
been my	0.534	20	1
how hard	0.534	20	1
the floor	0.534	20	1
very happy	0.534	20	1
cuz i	0.534	20	1
feeling tomorrow	0.534	20	1
my classes	0.534	20	1
can !	0.534	20	1
today sucked	0.534	20	1
worth the	0.534	20	1
more and	0.534	20	1
to uni	0.534	20	1
job interview	0.534	20	1
so !	0.534	20	1
does that	0.534	20	1
to us	0.534	20	1
maybe ?	0.534	20	1
feels good	0.534	20	1
have good	0.534	20	1
big things	0.534	20	1
before my	0.534	20	1
will finish	0.534	20	1
you had	0.534	20	1
well as	0.534	20	1
to where	0.534	20	1
just seen	0.534	20	1
chapter in	0.534	20	1
thinking i	0.534	20	1
still believe	0.534	20	1
past few	0.534	20	1
my whole	0.534	20	1
and find	0.534	20	1
being the	0.534	20	1
my legs	0.534	20	1
my math	0.534	20	1
being afraid	0.534	20	1
actually ,	0.534	20	1
of .	0.534	20	1
but sometimes	0.534	20	1
the table	0.534	20	1
off a	0.534	20	1
my team	0.534	20	1
something ,	0.534	20	1
been one	0.534	20	1
had such	0.534	20	1
looking forward	0.533	385	21
today i	0.533	93	5
good in	0.531	111	6
is to	0.529	129	7
and there	0.527	38	2
but my	0.527	38	2
of summer	0.527	38	2
in to	0.527	38	2
we just	0.527	38	2
do my	0.527	38	2
day it	0.527	38	2
to worry	0.524	56	3
up early	0.524	56	3
may have	0.524	56	3
together .	0.524	56	3
it out	0.524	56	3
where i	0.521	128	7
it can	0.521	164	9
ll get	0.516	217	12
do it	0.515	163	9
wait to	0.512	234	13
how to	0.511	91	5
try to	0.509	180	10
just means	0.509	73	4
tomorrow '	0.507	144	8
love it	0.506	55	3
sun is	0.506	55	3
gets better	0.506	55	3
take it	0.506	55	3
be happy	0.505	268	15
year is	0.503	108	6
monday !	0.5	37	2
always be	0.5	90	5
get there	0.5	37	2
good things	0.5	249	14
some point	0.5	37	2
you in	0.5	37	2
to fall	0.5	37	2
is another	0.5	37	2
my night	0.5	37	2
morning and	0.5	37	2
some things	0.5	37	2
well that	0.5	37	2
my mood	0.5	37	2
in your	0.498	125	7
can only	0.496	248	14
do .	0.496	72	4
will happen	0.494	107	6
to learn	0.488	54	3
for 2013	0.488	54	3
on that	0.488	54	3
how things	0.488	54	3
next week	0.486	228	13
times better	0.483	19	1
she will	0.483	19	1
was actually	0.483	19	1
know things	0.483	19	1
bring .	0.483	19	1
tomorrow we	0.483	19	1
will feel	0.483	19	1
the dark	0.483	19	1
just fine	0.483	19	1
tomorrow with	0.483	19	1
family .	0.483	19	1
going home	0.483	19	1
mean that	0.483	19	1
its my	0.483	19	1
league .	0.483	19	1
way better	0.483	19	1
start over	0.483	19	1
to getting	0.483	19	1
the radio	0.483	19	1
everything and	0.483	19	1
no worries	0.483	19	1
sign that	0.483	19	1
that some	0.483	19	1
to plan	0.483	19	1
ll give	0.483	19	1
sure there	0.483	19	1
the face	0.483	19	1
out if	0.483	19	1
soon enough	0.483	19	1
long way	0.483	19	1
home ,	0.483	19	1
in some	0.483	19	1
doing the	0.483	19	1
off and	0.483	19	1
be hard	0.483	19	1
fall together	0.483	19	1
dream .	0.483	19	1
til the	0.483	19	1
down #optimism	0.483	19	1
this cold	0.483	19	1
final !	0.483	19	1
look good	0.483	19	1
its still	0.483	19	1
happens to	0.483	19	1
to miss	0.483	19	1
lot to	0.483	19	1
piece of	0.483	19	1
negative people	0.483	19	1
see some	0.483	19	1
get so	0.483	19	1
you really	0.483	19	1
full not	0.483	19	1
the premier	0.483	19	1
the 2nd	0.483	19	1
night of	0.483	19	1
be !	0.483	19	1
how my	0.483	19	1
10 -	0.483	19	1
one can	0.483	19	1
30 .	0.483	19	1
comes in	0.483	19	1
my brain	0.483	19	1
and new	0.483	19	1
remember ,	0.483	19	1
week in	0.483	19	1
out that	0.483	19	1
take that	0.483	19	1
tomorrow a	0.483	19	1
me from	0.483	19	1
your dreams	0.483	19	1
do anything	0.483	19	1
today just	0.483	19	1
night and	0.483	19	1
days until	0.482	71	4
what could	0.482	71	4
much to	0.482	71	4
&amp ;	0.48	1144	66
will come	0.479	140	8
your life	0.476	174	10
you ,	0.475	105	6
things in	0.475	105	6
lot of	0.474	191	11
it looks	0.473	36	2
ve decided	0.473	36	2
ill get	0.473	36	2
this has	0.473	36	2
win ,	0.473	36	2
hope i	0.473	208	12
till i	0.473	36	2
know you	0.473	36	2
we win	0.473	36	2
it should	0.473	36	2
off !	0.473	36	2
do well	0.473	36	2
to bring	0.467	70	4
be that	0.467	70	4
about what	0.467	70	4
always a	0.466	104	6
and a	0.463	274	16
is a	0.461	800	47
can feel	0.458	154	9
of life	0.455	86	5
in every	0.455	86	5
try and	0.455	86	5
should be	0.453	288	17
you won	0.45	52	3
woke up	0.448	119	7
not so	0.445	35	2
left of	0.445	35	2
be getting	0.445	35	2
are on	0.445	35	2
was so	0.445	35	2
the perfect	0.445	35	2
winning the	0.445	35	2
one good	0.445	35	2
your mind	0.445	35	2
than you	0.445	35	2
looking on	0.445	35	2
one ,	0.445	35	2
is really	0.445	35	2
is my	0.443	85	5
for an	0.443	85	5
the one	0.443	85	5
feeling like	0.439	68	4
you to	0.439	68	4
year ,	0.438	151	9
get a	0.432	447	27
of these	0.431	51	3
be too	0.431	51	3
hard work	0.431	51	3
room for	0.431	51	3
be a	0.43	2471	150
my day	0.43	265	16
day '	0.429	18	1
now you	0.429	18	1
let my	0.429	18	1
end on	0.429	18	1
that god	0.429	18	1
the moon	0.429	18	1
good point	0.429	18	1
year with	0.429	18	1
end to	0.429	18	1
that good	0.429	18	1
hope of	0.429	18	1
applying for	0.429	18	1
good part	0.429	18	1
best for	0.429	18	1
day weekend	0.429	18	1
half a	0.429	18	1
chance for	0.429	18	1
it if	0.429	18	1
of shit	0.429	18	1
still on	0.429	18	1
half time	0.429	18	1
do all	0.429	18	1
use the	0.429	18	1
in 4	0.429	18	1
need some	0.429	18	1
your past	0.429	18	1
least this	0.429	18	1
ending .	0.429	18	1
better now	0.429	18	1
friend .	0.429	18	1
have ,	0.429	18	1
to tweet	0.429	18	1
happy birthday	0.429	18	1
door opens	0.429	18	1
of having	0.429	18	1
have never	0.429	18	1
that day	0.429	18	1
than being	0.429	18	1
my essay	0.429	18	1
what he	0.429	18	1
soon as	0.429	18	1
away ,	0.429	18	1
ill have	0.429	18	1
you mean	0.429	18	1
could do	0.429	18	1
the euros	0.429	18	1
will tell	0.429	18	1
weekend and	0.429	18	1
when there	0.429	18	1
to celebrate	0.429	18	1
long it	0.429	18	1
the sunshine	0.429	18	1
is at	0.429	18	1
family and	0.429	18	1
in 2012	0.429	18	1
things always	0.429	18	1
optimism is	0.429	18	1
this bad	0.429	18	1
this beautiful	0.429	18	1
really think	0.429	18	1
and going	0.429	18	1
&gt ;	0.427	297	18
just be	0.424	67	4
still a	0.424	67	4
ll be	0.423	656	40
have the	0.423	165	10
days .	0.42	132	8
until i	0.419	83	5
my last	0.419	83	5
second half	0.416	34	2
on what	0.416	34	2
those days	0.416	34	2
get on	0.416	34	2
haha ,	0.416	34	2
days left	0.416	34	2
to help	0.416	34	2
just got	0.416	99	6
only be	0.416	34	2
as long	0.414	115	7
well i	0.414	115	7
of this	0.413	212	13
be sad	0.411	50	3
ruin my	0.411	50	3
little bit	0.411	50	3
still be	0.411	50	3
ok .	0.411	50	3
as good	0.409	66	4
for me	0.409	453	28
you !	0.407	82	5
maybe i	0.405	130	8
the good	0.403	354	22
side of	0.399	193	12
though !	0.396	97	6
the start	0.396	97	6
today '	0.393	303	19
he will	0.393	65	4
myself .	0.393	65	4
and its	0.391	49	3
good as	0.391	49	3
go on	0.391	49	3
to what	0.391	49	3
life has	0.391	49	3
loads of	0.386	33	2
over it	0.386	33	2
get ready	0.386	33	2
better to	0.386	33	2
work on	0.386	33	2
appreciate the	0.386	33	2
things !	0.386	33	2
never been	0.386	33	2
day ,	0.386	427	27
feel so	0.386	33	2
let you	0.386	33	2
hoping today	0.386	33	2
well it	0.386	33	2
until the	0.386	33	2
rough day	0.386	33	2
pretty much	0.386	33	2
you keep	0.386	33	2
fall in	0.386	33	2
day ahead	0.386	33	2
on my	0.385	411	26
far .	0.383	80	5
but still	0.378	64	4
it might	0.378	64	4
it was	0.376	298	19
that this	0.375	95	6
now !	0.375	95	6
means it	0.372	17	1
team gb	0.372	17	1
benefit of	0.372	17	1
day like	0.372	17	1
my back	0.372	17	1
know for	0.372	17	1
friday and	0.372	17	1
much ,	0.372	17	1
something about	0.372	17	1
city ,	0.372	17	1
couple months	0.372	17	1
chance !	0.372	17	1
music .	0.372	17	1
to appreciate	0.372	17	1
things out	0.372	17	1
big day	0.372	17	1
get home	0.372	17	1
starting the	0.372	17	1
taking the	0.372	17	1
tho ,	0.372	17	1
the door	0.372	17	1
only need	0.372	17	1
more week	0.372	17	1
and don	0.372	17	1
off on	0.372	17	1
yes i	0.372	17	1
can look	0.372	17	1
like everything	0.372	17	1
all your	0.372	17	1
to check	0.372	17	1
fail ,	0.372	17	1
we want	0.372	17	1
great way	0.372	17	1
just about	0.372	17	1
not an	0.372	17	1
as soon	0.372	17	1
first game	0.372	17	1
feel as	0.372	17	1
sure what	0.372	17	1
even in	0.372	17	1
sees the	0.372	17	1
be to	0.372	17	1
it wouldn	0.372	17	1
week off	0.372	17	1
to 2013	0.372	17	1
hold on	0.372	17	1
re getting	0.372	17	1
love your	0.372	17	1
glass of	0.372	17	1
wow .	0.372	17	1
college .	0.372	17	1
10 ,	0.372	17	1
once in	0.372	17	1
lose ,	0.372	17	1
list of	0.372	17	1
only for	0.372	17	1
not at	0.372	17	1
man utd	0.372	17	1
opportunity in	0.372	17	1
expect it	0.372	17	1
win at	0.372	17	1
outside .	0.372	17	1
god i	0.372	17	1
the key	0.372	17	1
great to	0.372	17	1
game on	0.372	17	1
the dream	0.372	17	1
she was	0.372	17	1
what do	0.372	17	1
game of	0.372	17	1
and next	0.372	17	1
my fantasy	0.372	17	1
monday is	0.372	17	1
was on	0.372	17	1
twitter .	0.372	17	1
still going	0.372	17	1
happy ?	0.372	17	1
would love	0.37	48	3
place .	0.37	48	3
better ,	0.37	79	5
when life	0.37	48	3
had the	0.37	48	3
than the	0.37	79	5
next few	0.37	48	3
way ,	0.37	48	3
time to	0.365	418	27
the summer	0.362	63	4
so .	0.362	63	4
up and	0.36	201	13
days of	0.357	78	5
and some	0.355	32	2
out my	0.355	32	2
me on	0.355	32	2
the euro	0.355	32	2
it that	0.355	32	2
my past	0.355	32	2
still have	0.355	139	9
regardless of	0.355	32	2
we lost	0.355	32	2
to walk	0.355	32	2
its a	0.351	108	7
day .	0.35	1263	83
it in	0.35	123	8
you might	0.349	47	3
positive !	0.349	47	3
job .	0.349	47	3
positive and	0.349	47	3
see my	0.349	47	3
out .	0.348	229	15
is over	0.344	77	5
be able	0.341	137	9
get the	0.334	151	10
up to	0.334	166	11
might be	0.334	151	10
yet .	0.332	91	6
to put	0.331	76	5
bushes have	0.33	61	4
will change	0.328	46	3
happy ,	0.328	46	3
yesterday was	0.328	46	3
just keep	0.328	46	3
from the	0.328	165	11
it takes	0.328	46	3
of sleep	0.328	46	3
year and	0.328	46	3
you will	0.327	150	10
more like	0.324	31	2
fun .	0.324	31	2
so if	0.324	31	2
having to	0.324	31	2
day when	0.324	31	2
few months	0.324	31	2
mate ,	0.324	31	2
the tunnel	0.324	31	2
rose bushes	0.324	31	2
he was	0.324	31	2
to use	0.324	31	2
to sit	0.324	31	2
thorn bushes	0.324	31	2
glass as	0.324	31	2
have something	0.324	31	2
that have	0.324	31	2
same time	0.324	31	2
think .	0.324	31	2
get it	0.323	105	7
life '	0.321	90	6
for the	0.319	1357	92
all be	0.318	75	5
the week	0.316	163	11
made me	0.314	60	4
will .	0.314	60	4
what a	0.314	148	10
always half	0.314	60	4
go well	0.312	16	1
side it	0.312	16	1
but oh	0.312	16	1
see me	0.312	16	1
tell you	0.312	16	1
of luck	0.312	16	1
situation ,	0.312	16	1
love when	0.312	16	1
on track	0.312	16	1
better with	0.312	16	1
well we	0.312	16	1
you worry	0.312	16	1
it turns	0.312	16	1
and nothing	0.312	16	1
perspective .	0.312	16	1
awful day	0.312	16	1
myself and	0.312	16	1
how we	0.312	16	1
too ?	0.312	16	1
this hard	0.312	16	1
people need	0.312	16	1
still get	0.312	16	1
lot ,	0.312	16	1
book .	0.312	16	1
fiver on	0.312	16	1
got it	0.312	16	1
and she	0.312	16	1
s/o to	0.312	16	1
was .	0.312	16	1
will finally	0.312	16	1
while ,	0.312	16	1
can not	0.312	16	1
empty or	0.312	16	1
set my	0.312	16	1
day goes	0.312	16	1
many times	0.312	16	1
the mood	0.312	16	1
things change	0.312	16	1
you back	0.312	16	1
we did	0.312	16	1
is ending	0.312	16	1
2012 has	0.312	16	1
made .	0.312	16	1
and love	0.312	16	1
yet another	0.312	16	1
am ,	0.312	16	1
for breakfast	0.312	16	1
now a	0.312	16	1
re only	0.312	16	1
this christmas	0.312	16	1
time tomorrow	0.312	16	1
by myself	0.312	16	1
thing !	0.312	16	1
know my	0.312	16	1
room ,	0.312	16	1
all -	0.312	16	1
to every	0.312	16	1
but to	0.312	16	1
guys !	0.312	16	1
us a	0.312	16	1
so don	0.312	16	1
turning out	0.312	16	1
got me	0.312	16	1
you cant	0.312	16	1
and an	0.312	16	1
get something	0.312	16	1
be half	0.312	16	1
later on	0.312	16	1
please .	0.312	16	1
but can	0.312	16	1
when a	0.312	16	1
lets go	0.312	16	1
yet but	0.312	16	1
wednesday .	0.312	16	1
tunnel .	0.312	16	1
the opposite	0.312	16	1
wait til	0.312	16	1
to christmas	0.312	16	1
taking my	0.312	16	1
the faith	0.312	16	1
mind to	0.312	16	1
never thought	0.312	16	1
goals in	0.312	16	1
down on	0.312	16	1
put me	0.312	16	1
forward to	0.307	511	35
good start	0.306	45	3
exam .	0.306	45	3
happen !	0.306	45	3
this new	0.306	45	3
things get	0.306	45	3
to meet	0.306	45	3
in bed	0.305	74	5
like a	0.303	248	17
can be	0.301	175	12
long as	0.3	117	8
though i	0.299	88	6
an hour	0.299	88	6
feel it	0.297	160	11
my hair	0.297	59	4
me and	0.294	102	7
what .	0.291	30	2
what my	0.291	30	2
sort of	0.291	30	2
of you	0.291	73	5
as an	0.291	30	2
things go	0.291	30	2
to read	0.291	30	2
in !	0.291	30	2
ve made	0.291	30	2
game !	0.291	30	2
keep the	0.291	30	2
so the	0.291	30	2
great start	0.291	30	2
so long	0.291	30	2
for everything	0.291	30	2
on sunday	0.291	30	2
is already	0.291	30	2
be with	0.291	30	2
best ,	0.291	30	2
week ,	0.291	116	8
high hopes	0.291	30	2
amazing .	0.291	30	2
believe that	0.291	73	5
feeling about	0.289	130	9
the rain	0.287	87	6
the new	0.286	201	14
ll have	0.286	144	10
make a	0.286	144	10
will get	0.285	272	19
work and	0.284	44	3
back from	0.284	44	3
it for	0.284	44	3
we need	0.284	44	3
my family	0.284	44	3
the job	0.284	44	3
me that	0.284	44	3
starting to	0.282	115	8
but you	0.281	129	9
gonna have	0.28	58	4
my birthday	0.28	58	4
well .	0.276	213	15
and be	0.275	100	7
one of	0.274	283	20
week .	0.274	283	20
to sleep	0.266	155	11
to come	0.266	239	17
wait for	0.266	183	13
out for	0.265	99	7
the way	0.263	294	21
win !	0.262	57	4
was just	0.262	57	4
in time	0.262	57	4
two more	0.261	43	3
do a	0.261	43	3
it makes	0.261	43	3
worry ,	0.261	43	3
for them	0.257	29	2
buy a	0.257	29	2
is right	0.257	29	2
start !	0.257	29	2
has just	0.257	29	2
easy .	0.257	29	2
can come	0.257	29	2
and when	0.257	29	2
half the	0.257	29	2
will take	0.257	29	2
being happy	0.257	29	2
start of	0.254	98	7
getting a	0.252	84	6
you never	0.252	84	6
ve been	0.251	194	14
got a	0.25	304	22
get this	0.249	70	5
that was	0.249	70	5
few days	0.249	70	5
is amazing	0.248	15	1
there to	0.248	15	1
dr .	0.248	15	1
here and	0.248	15	1
getting the	0.248	15	1
in london	0.248	15	1
from you	0.248	15	1
thing it	0.248	15	1
all will	0.248	15	1
they may	0.248	15	1
won a	0.248	15	1
to bad	0.248	15	1
today be	0.248	15	1
down my	0.248	15	1
needed to	0.248	15	1
were a	0.248	15	1
field of	0.248	15	1
weeks !	0.248	15	1
home to	0.248	15	1
falling into	0.248	15	1
happy person	0.248	15	1
opportunity .	0.248	15	1
last two	0.248	15	1
make that	0.248	15	1
for summer	0.248	15	1
die #optimistic	0.248	15	1
took a	0.248	15	1
find some	0.248	15	1
hahaha .	0.248	15	1
well be	0.248	15	1
hang out	0.248	15	1
and 2	0.248	15	1
my stomach	0.248	15	1
person you	0.248	15	1
to new	0.248	15	1
dont know	0.248	15	1
get what	0.248	15	1
step forward	0.248	15	1
hope there	0.248	15	1
re on	0.248	15	1
test ,	0.248	15	1
been .	0.248	15	1
at your	0.248	15	1
many more	0.248	15	1
start being	0.248	15	1
was one	0.248	15	1
sick and	0.248	15	1
weekend will	0.248	15	1
and looking	0.248	15	1
worth of	0.248	15	1
money ,	0.248	15	1
work i	0.248	15	1
thanks ,	0.248	15	1
the 3rd	0.248	15	1
planned .	0.248	15	1
months ,	0.248	15	1
make of	0.248	15	1
thinking it	0.248	15	1
for finals	0.248	15	1
enjoy my	0.248	15	1
on you	0.248	15	1
you through	0.248	15	1
is due	0.248	15	1
me more	0.248	15	1
many good	0.248	15	1
job and	0.248	15	1
in today	0.248	15	1
why but	0.248	15	1
damn ,	0.248	15	1
sure hope	0.248	15	1
never too	0.248	15	1
an extra	0.248	15	1
be patient	0.248	15	1
even have	0.248	15	1
am sure	0.248	15	1
